,metric_id,trial 1,trial 2,trial 3
0,BEAKING_CONCENTRIC_DURATION_RATIO_Trial_%,121.89781021897811,125.5813953488372,103.84615384615384
1,BEAKING_CONTRACTION_DURATION_RATIO_Trial_%,40.04796163069545,42.857142857142854,35.62005277044855
2,BEGIN_BRAKING_PHASE_Trial_s,33.70999999999523,45.42200000000955,54.9580000000212
3,BEGIN_CONCENTRIC_PHASE_Trial_s,34.04399999999564,45.74600000000994,55.22800000002153
4,BEGIN_ECC_DECEL_PHASE_Trial_s,33.90199999999547,45.60200000000977,55.09400000002137
5,BM_REL_ABS_CON_IMPULSE_Trial_Ns/kg,5.479567108332058,5.364401463866242,5.389967060597393
6,BM_REL_FORCE_AT_ZERO_VELOCITY_Trial_N/kg,25.429824857812193,25.50677330235435,26.177324033364574
7,BODYMASS_RELATIVE_ECCENTRIC_PEAK_POWER_Trial_W/kg,18.998668584137697,21.47377791553817,23.505121062253107
8,BODYMASS_RELATIVE_ECC_DECEL_IMPULSE_Trial_Ns/kg,1.334199305132497,1.4117686184625944,1.3993754980036177
9,BODYMASS_RELATIVE_MEAN_CONCENTRIC_POWER_Trial_W/kg,30.977,32.702,32.49
10,BODYMASS_RELATIVE_MEAN_ECCENTRIC_POWER_Trial_W/kg,6.219894977710178,6.8512558178392995,6.719009920492967
11,BODYMASS_RELATIVE_MEAN_TAKEOFF_FORCE_Trial_N/kg,19.945774533848134,20.730980775654974,20.673118721152804
12,BODYMASS_RELATIVE_TAKEOFF_POWER_Trial_W/kg,56.387,57.736,56.532
13,BODY_WEIGHT_LBS_Trial_lb,90.97,90.97,90.97
14,BODY_WEIGHT_Trial_kg,90.97,90.97,90.97
15,BRAKING_PHASE_DURATION_Trial_ms,0.3340000000004082,0.32400000000039597,0.27000000000033
16,CMJ_STIFFNESS_Asym_N/m,-3.613874017890269,0.6115912416820887,0.5202891152924892
17,CMJ_STIFFNESS_Left_N/m,3390.3215849637127,3408.5467940469407,3530.8191354726055
18,CMJ_STIFFNESS_Right_N/m,3267.7996340817836,3429.5214468474687,3549.2856825495455
19,CMJ_STIFFNESS_Trial_N/m,6641.289016603468,6757.901675204543,7080.104818022151
20,CONCENTRIC_DURATION_Trial_ms,0.27400000000033486,0.2580000000003153,0.26000000000031775
21,CONCENTRIC_ECCENTRIC_DURATION_RATIO_Trial_%,148.92857142857142,151.80722891566265,152.20883534136547
22,CONCENTRIC_IMPULSE_100MS_Asym_Ns,-6.269671100276584,8.706684703598963,5.365013084882444
23,CONCENTRIC_IMPULSE_100MS_Left_Ns,108.76826459157263,106.06626459156931,109.79726459157385
24,CONCENTRIC_IMPULSE_100MS_Right_Ns,101.94885214020243,116.18185214021979,116.0218521402196
25,CONCENTRIC_IMPULSE_100MS_Trial_Ns,121.50602168166607,133.03702168168013,136.60802168168453
26,CONCENTRIC_IMPULSE_50MS_Asym_Ns,-7.880817141765636,8.287509520657078,4.808923975560873
27,CONCENTRIC_IMPULSE_50MS_Left_Ns,56.53863229578894,54.43863229578638,56.4206322957888
28,CONCENTRIC_IMPULSE_50MS_Right_Ns,52.082926070102566,59.35792607011145,59.270926070111344
29,CONCENTRIC_IMPULSE_50MS_Trial_Ns,64.01601084083703,69.19101084084335,71.08601084084566
30,CONCENTRIC_IMPULSE_Asym_Ns,-8.324427025003779,3.790337877144133,-2.1719504707107924
31,CONCENTRIC_IMPULSE_Left_Ns,260.06246498086256,239.2862626462067,247.85428793804593
32,CONCENTRIC_IMPULSE_P1_Asym_Ns,-5.791743046329441,7.767887613165993,4.543170649680512
33,CONCENTRIC_IMPULSE_P1_Left_Ns,145.7537198445361,134.41661867720708,140.59264396904337
34,CONCENTRIC_IMPULSE_P1_Right_Ns,137.3120389106737,145.73733073947773,147.28400778228112
35,CONCENTRIC_IMPULSE_P1_Trial_Ns,161.7386694870616,165.9637477525453,171.90222818618292
36,CONCENTRIC_IMPULSE_P2_Asym_Ns,-11.553822209442115,-1.8057047922584848,-11.257179864103737
37,CONCENTRIC_IMPULSE_P2_Left_Ns,114.30874513632644,104.86964396899971,107.2616439690027
38,CONCENTRIC_IMPULSE_P2_Right_Ns,101.10171595343097,102.97600778222707,95.18700778221749
39,CONCENTRIC_IMPULSE_P2_Trial_Ns,92.29914992060709,91.87122818608512,86.47422818607853
40,CONCENTRIC_IMPULSE_Right_Ns,238.41375486410465,248.71333852170457,242.47101556449866
41,CONCENTRIC_IMPULSE_Trial_Ns,254.03781940766862,257.8349759386304,258.37645637226143
42,CONCENTRIC_RFD_100_Asym_N/s,-20.14388489208623,4.587155963302768,-23.333333333333332
43,CONCENTRIC_RFD_100_Left_N/s,-1669.999999997959,-1089.9999999986678,-1479.9999999981912
44,CONCENTRIC_RFD_100_Right_N/s,-1389.9999999983024,-1139.9999999986069,-1199.9999999985334
45,CONCENTRIC_RFD_100_Trial_N/s,-3059.99999999626,-2229.9999999972747,-2679.999999996725
46,CONCENTRIC_RFD_200_Asym_N/s,3.6585365853659297,70.58823529411772,56.34517766497468
47,CONCENTRIC_RFD_200_Left_N/s,-819.9999999989979,-764.999999999065,-984.9999999987962
48,CONCENTRIC_RFD_200_Right_N/s,-849.9999999989618,-1304.9999999984057,-1539.9999999981185
49,CONCENTRIC_RFD_200_Trial_N/s,-1669.999999997959,-2069.9999999974702,-2524.999999996914
50,CONCENTRIC_RFD_50_Asym_N/s,-27.184466019417336,-100.0,-100.0
51,CONCENTRIC_RFD_50_Left_N/s,-2619.999999996798,-1419.9999999982647,-1899.999999997678
