,metric_id,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,trial 11,trial 12
58,HOP_FATIGUE_PEAK_FORCE_Left_%,71.17142855557853,,,,,,,,,,,
59,HOP_FATIGUE_PEAK_FORCE_Right_%,16.925109634469088,,,,,,,,,,,
60,HOP_FATIGUE_PEAK_FORCE_Trial_%,40.08585791158298,,,,,,,,,,,
61,HOP_FATIGUE_PEAK_POWER_Trial_W,54.368310803023796,,,,,,,,,,,
62,HOP_FATIGUE_RSI_JH_Trial_%,53.96289471340431,,,,,,,,,,,
63,HOP_FATIGUE_RSI_Trial_%,31.817251369565543,,,,,,,,,,,
64,HOP_FATIGUE_STIFFNESS_Asym_%,-75.5854375790708,,,,,,,,,,,
65,HOP_FATIGUE_STIFFNESS_Left_%,65.1960507285841,,,,,,,,,,,
66,HOP_FATIGUE_STIFFNESS_Right_%,15.917330501110834,,,,,,,,,,,
67,HOP_FATIGUE_STIFFNESS_Trial_%,37.31463337572283,,,,,,,,,,,
68,HOP_FATIGUE_TIME_TO_PEAK_FORCE_Asym_%,7.647058823529461,,,,,,,,,,,
69,HOP_FATIGUE_TIME_TO_PEAK_FORCE_Left_%,-20.76502732240436,,,,,,,,,,,
70,HOP_FATIGUE_TIME_TO_PEAK_FORCE_Right_%,-22.352941176470587,,,,,,,,,,,
71,HOP_FATIGUE_TIME_TO_PEAK_FORCE_Trial_%,-19.075144508670522,,,,,,,,,,,
72,HOP_FLIGHT_TIME_Trial_ms,0.43,0.446,0.438,0.456,0.422,0.41400000000000003,0.482,0.488,0.496,0.492,0.52,0.524
73,HOP_IMPULSE_Asym_Ns,10.202018819745353,16.023852084129047,59.392286168963324,12.386029004901594,-4.679078684525474,35.517731101979024,-9.608197017782874,-0.2153095066433418,-11.594794290014011,-6.178597589410204,1.4420800486328886,-10.181851320895767
74,HOP_IMPULSE_Left_Ns,282.1409591438125,260.3776303500501,108.87303501939498,269.76052918273,293.5945797663743,232.45150389092188,301.99347859905436,305.3635038908813,329.2125797663547,315.3754533072182,316.5796050581905,341.16755447451914
75,HOP_IMPULSE_Right_Ns,314.19521400760783,310.06141245119005,268.10924513603817,307.89670427998504,279.85705836560373,360.48902723715423,272.97735019440125,304.706027237185,291.04105836559756,295.8896731515869,321.21173540838225,306.4303813227875
76,HOP_IMPULSE_Trial_Ns,596.3361731514204,570.4390428012404,376.9822801554332,577.6572334627151,573.4516381319781,592.9405311280763,574.9708287934556,610.0695311280666,620.253638131952,611.2651264588052,637.7913404665729,647.5979357973065
77,HOP_JUMP_HEIGHT_Trial_cm,22.665619812499997,24.3837448925,23.516837032499996,25.489444680000002,21.830093232499998,21.0102572925,28.479001932499997,29.19243572,30.15741008,29.672961570000002,33.146477000000004,33.65838413
78,HOP_LANDING_RFD_Asym_N/s,7.68282662284307,10.077806595035199,70.5851619644723,2.9626920263350334,-4.094244882193899,100.0,-5.493050959629386,-6.538591169531512,-8.581842279655405,-6.357615894039739,-2.5871361839741374,-15.314751017851552
79,HOP_LANDING_RFD_Left_N/s,18120.967741945526,23336.538461551394,4771.186440680611,27635.416666681984,26968.75000001495,-5000.000000002771,30220.00000001675,30906.250000017128,32106.3829787412,32826.08695653993,29606.382978739814,33968.085106401806
80,HOP_LANDING_RFD_Right_N/s,19629.032258075396,25951.92307693746,16220.338983059837,28479.16666668245,25864.58333334767,11279500.000006251,28560.00000001583,28885.416666682675,29351.0638298035,30739.130434799645,28840.425531930876,28765.957446824454
