,metric_id,trial 1,trial 2,trial 3
0,BEAKING_CONCENTRIC_DURATION_RATIO_Trial_%,110.92715231788078,90.06211180124224,103.15789473684211
1,BEAKING_CONTRACTION_DURATION_RATIO_Trial_%,45.578231292517,42.27405247813411,37.935483870967744
2,BEGIN_BRAKING_PHASE_Trial_s,13.888000000001307,20.11799999999973,26.641999999996113
3,BEGIN_CONCENTRIC_PHASE_Trial_s,14.558000000001531,20.697999999999407,27.229999999995787
4,BEGIN_ECC_DECEL_PHASE_Trial_s,14.222000000001419,20.363999999999592,26.923999999995957
5,BODYMASS_RELATIVE_MEAN_TAKEOFF_FORCE_Trial_N/kg,9.02857757941303,8.897077625628915,8.492096665518137
6,BODY_WEIGHT_LBS_Trial_lb,90.9,90.9,90.9
7,BODY_WEIGHT_Trial_kg,90.9,90.9,90.9
8,BRAKING_PHASE_DURATION_Trial_ms,0.6700000000002237,0.5799999999996786,0.5879999999996741
9,CONCENTRIC_DURATION_Trial_ms,0.6040000000002017,0.6439999999996431,0.5699999999996841
10,CONCENTRIC_ECCENTRIC_DURATION_RATIO_Trial_%,169.7459584295612,188.46153846153845,158.16326530612247
11,CONCENTRIC_RFD_100_Asym_N/s,19.672131147540956,11.842105263157833,-100.0
12,CONCENTRIC_RFD_100_Left_N/s,979.9999999996727,670.0000000003713,20.000000000011084
13,CONCENTRIC_RFD_100_Right_N/s,1219.999999999592,760.0000000004206,-130.00000000007205
14,CONCENTRIC_RFD_100_Trial_N/s,2199.999999999265,1430.0000000007926,-110.00000000006096
15,CONCENTRIC_RFD_200_Asym_N/s,5.5555555555554585,2.9411764705880645,23.076923076923034
16,CONCENTRIC_RFD_200_Left_N/s,254.99999999991485,165.00000000009146,-520.0000000002882
17,CONCENTRIC_RFD_200_Right_N/s,269.99999999990956,170.00000000009393,-640.0000000003545
18,CONCENTRIC_RFD_200_Trial_N/s,524.9999999998241,335.0000000001851,-1160.000000000643
19,CONCENTRIC_RFD_50_Asym_N/s,-3.389830508474668,11.538461538461442,36.0
20,CONCENTRIC_RFD_50_Left_N/s,1179.999999999606,920.0000000005099,320.00000000017735
21,CONCENTRIC_RFD_50_Right_N/s,1139.9999999996182,1040.0000000005753,500.0000000002771
22,CONCENTRIC_RFD_50_Trial_N/s,2319.999999999223,1960.0000000010864,820.0000000004545
23,CONCENTRIC_RFD_Asym_N/s,11.570247933884263,12.49999999999993,39.285714285714285
24,CONCENTRIC_RFD_Left_N/s,862.9032258061634,603.4482758624034,369.5652173915092
25,CONCENTRIC_RFD_MAX_Asym_N/s,17.333333333333336,7.4074074074074066,
26,CONCENTRIC_RFD_MAX_Left_N/s,1240.0,1000.0,
27,CONCENTRIC_RFD_MAX_Right_N/s,1500.0,1080.0,
28,CONCENTRIC_RFD_MAX_Trial_N/s,2700.0,2000.0,
29,CONCENTRIC_RFD_Right_N/s,975.8064516125769,689.6551724141748,608.6956521742504
30,CONCENTRIC_RFD_Trial_N/s,1838.7096774187407,1293.1034482765788,978.2608695657595
31,CONTRACTION_TIME_Trial_ms,1.470000000000491,1.3719999999992396,1.549999999999141
32,ECCENTRIC_ACCEL_PHASE_DURATION_Trial_s,0.530000000000177,0.39399999999978164,0.6739999999996265
33,ECCENTRIC_BRAKING_RFD_100MS_Asym_N/s,-7.692307692307702,37.25490196078435,-63.04347826086957
34,ECCENTRIC_BRAKING_RFD_100MS_Left_N/s,259.9999999999132,320.00000000017735,460.00000000025494
35,ECCENTRIC_BRAKING_RFD_100MS_Right_N/s,239.99999999991985,510.00000000028297,170.00000000009422
36,ECCENTRIC_BRAKING_RFD_100MS_Trial_N/s,379.9999999998731,770.0000000004279,460.00000000025494
37,ECCENTRIC_BRAKING_RFD_Asym_N/s,46.08893216488154,33.64899916801253,14.385189880940588
38,ECCENTRIC_BRAKING_RFD_Left_N/s,211.5384615383909,318.02721088453,512.2377622380461
39,ECCENTRIC_BRAKING_RFD_Right_N/s,392.3841059601339,479.31034482785185,598.3050847460943
40,ECCENTRIC_BRAKING_RFD_Trial_N/s,562.6865671639914,800.0000000004436,1083.333333333934
41,ECCENTRIC_CONCENTRIC_DURATION_RATIO_Trial_%,143.37748344370863,113.04347826086956,171.9298245614035
42,ECCENTRIC_DECEL_PHASE_DURATION_Trial_s,0.3360000000001122,0.3339999999998149,0.3059999999998304
43,ECCENTRIC_DECEL_RFD_Asym_N/s,43.03030303030304,34.39153439153439,28.85375494071144
44,ECCENTRIC_DECEL_RFD_Left_N/s,279.7619047618113,371.25748503014586,588.2352941179731
45,ECCENTRIC_DECEL_RFD_Right_N/s,491.07142857126456,565.8682634733675,826.7973856213731
46,ECCENTRIC_DECEL_RFD_Trial_N/s,770.8333333330759,937.1257485035134,1415.0326797393463
47,ECCENTRIC_TIME_Trial_ms,0.8660000000002892,0.7279999999995965,0.9799999999994569
48,FLIGHT_CONTRACTION_TIME_RATIO_Trial_,0.1945578231292517,0.1967930029154519,0.16774193548387098
49,FLIGHT_ECCENTRIC_TIME_RATIO_Trial_,0.3302540415704388,0.3708791208791209,0.2653061224489796
50,FLIGHT_TIME_Trial_ms,0.2860000000000955,0.26999999999985036,0.2599999999998559
51,LANDING_RFD_50_Trial_N/s,19659.999999993437,19580.000000010856,11700.000000006487
52,LANDING_RFD_Trial_N/s,39826.163,80417.224,64167.353
53,MEAN_ECCENTRIC_BRAKING_FORCE_Trial_N,634.9434292199401,640.5126793426691,663.3579469761945
54,MEAN_ECCENTRIC_DECELERATION_FORCE_Trial_N,708.7949542974253,715.2261673151767,807.5329854969948
