resultId,value,time,limb,repeat,definition_id,result_key,description,name,unit,repeatable,asymmetry
13107212,1886.6666666643603,48.786,Right,0,13107212,RFD_AT_150MS,Rate of force development over 150ms from start of movement,RFD - 150ms,Newton Per Second,False,True
13107212,21.201413427561807,48.786,Asym,0,13107212,RFD_AT_150MS,Rate of force development over 150ms from start of movement,RFD - 150ms,Newton Per Second,False,True
13107213,3214.999999996071,48.836,Trial,0,13107213,RFD_AT_200MS,Rate of force development over 200ms from start of movement,RFD - 200ms,Newton Per Second,False,True
13107213,1489.999999998179,48.836,Left,0,13107213,RFD_AT_200MS,Rate of force development over 200ms from start of movement,RFD - 200ms,Newton Per Second,False,True
13107213,1724.9999999978913,48.836,Right,0,13107213,RFD_AT_200MS,Rate of force development over 200ms from start of movement,RFD - 200ms,Newton Per Second,False,True
13107213,13.623188405797078,48.836,Asym,0,13107213,RFD_AT_200MS,Rate of force development over 200ms from start of movement,RFD - 200ms,Newton Per Second,False,True
13107214,3839.9999999953025,48.736,Trial,0,13107214,RFD_50_100MS,Rate of force development from 50ms to 100ms after start of movement,RFD - 50-100ms,Newton Per Second,False,True
13107214,819.9999999989979,48.736,Left,0,13107214,RFD_50_100MS,Rate of force development from 50ms to 100ms after start of movement,RFD - 50-100ms,Newton Per Second,False,True
13107214,3019.999999996307,48.736,Right,0,13107214,RFD_50_100MS,Rate of force development from 50ms to 100ms after start of movement,RFD - 50-100ms,Newton Per Second,False,True
13107214,72.84768211920529,48.736,Asym,0,13107214,RFD_50_100MS,Rate of force development from 50ms to 100ms after start of movement,RFD - 50-100ms,Newton Per Second,False,True
13107215,3819.999999995336,48.786,Trial,0,13107215,RFD_100_150MS,Rate of force development from 100ms to 150ms after start of movement,RFD - 100-150ms,Newton Per Second,False,True
13107215,1839.9999999977513,48.786,Left,0,13107215,RFD_100_150MS,Rate of force development from 100ms to 150ms after start of movement,RFD - 100-150ms,Newton Per Second,False,True
13107215,1979.9999999975803,48.786,Right,0,13107215,RFD_100_150MS,Rate of force development from 100ms to 150ms after start of movement,RFD - 100-150ms,Newton Per Second,False,True
13107215,7.070707070707076,48.786,Asym,0,13107215,RFD_100_150MS,Rate of force development from 100ms to 150ms after start of movement,RFD - 100-150ms,Newton Per Second,False,True
13107216,2739.9999999966512,48.836,Trial,0,13107216,RFD_150_200MS,Rate of force development from 150ms to 200ms after start of movement,RFD - 150-200ms,Newton Per Second,False,True
13107216,1499.999999998167,48.836,Left,0,13107216,RFD_150_200MS,Rate of force development from 150ms to 200ms after start of movement,RFD - 150-200ms,Newton Per Second,False,True
13107216,1239.9999999984846,48.836,Right,0,13107216,RFD_150_200MS,Rate of force development from 150ms to 200ms after start of movement,RFD - 150-200ms,Newton Per Second,False,True
13107216,-17.33333333333334,48.836,Asym,0,13107216,RFD_150_200MS,Rate of force development from 150ms to 200ms after start of movement,RFD - 150-200ms,Newton Per Second,False,True
13107217,2400.0,51.554,Trial,0,13107217,NET_PEAK_VERTICAL_FORCE,Net peak vertical force w.r.t baseline after start of movement,Net Peak Vertical Force,Newton,False,True
13107217,1151.0,51.28,Left,0,13107217,NET_PEAK_VERTICAL_FORCE,Net peak vertical force w.r.t baseline after start of movement,Net Peak Vertical Force,Newton,False,True
13107217,1322.0,51.56,Right,0,13107217,NET_PEAK_VERTICAL_FORCE,Net peak vertical force w.r.t baseline after start of movement,Net Peak Vertical Force,Newton,False,True
13107217,12.934947049924356,51.554,Asym,0,13107217,NET_PEAK_VERTICAL_FORCE,Net peak vertical force w.r.t baseline after start of movement,Net Peak Vertical Force,Newton,False,True
13107218,123.0,48.686,Trial,0,13107218,NET_FORCE_AT_50MS,Net vertical force w.r.t baseline at 50ms after start of movement,Net Force at 50ms,Newton,False,True
13107218,90.0,48.686,Left,0,13107218,NET_FORCE_AT_50MS,Net vertical force w.r.t baseline at 50ms after start of movement,Net Force at 50ms,Newton,False,True
13107218,33.0,48.686,Right,0,13107218,NET_FORCE_AT_50MS,Net vertical force w.r.t baseline at 50ms after start of movement,Net Force at 50ms,Newton,False,True
13107218,-63.33333333333333,48.686,Asym,0,13107218,NET_FORCE_AT_50MS,Net vertical force w.r.t baseline at 50ms after start of movement,Net Force at 50ms,Newton,False,True
13107219,314.9999999999998,48.736,Trial,0,13107219,NET_FORCE_AT_100MS,Net vertical force w.r.t baseline at 100ms after start of movement,Net Force at 100ms,Newton,False,True
13107219,131.0,48.736,Left,0,13107219,NET_FORCE_AT_100MS,Net vertical force w.r.t baseline at 100ms after start of movement,Net Force at 100ms,Newton,False,True
13107219,183.9999999999999,48.736,Right,0,13107219,NET_FORCE_AT_100MS,Net vertical force w.r.t baseline at 100ms after start of movement,Net Force at 100ms,Newton,False,True
13107219,28.80434782608691,48.736,Asym,0,13107219,NET_FORCE_AT_100MS,Net vertical force w.r.t baseline at 100ms after start of movement,Net Force at 100ms,Newton,False,True
13107220,506.0,48.786,Trial,0,13107220,NET_FORCE_AT_150MS,Net vertical force w.r.t baseline at 150ms after start of movement,Net Force at 150ms,Newton,False,True
13107220,223.0,48.786,Left,0,13107220,NET_FORCE_AT_150MS,Net vertical force w.r.t baseline at 150ms after start of movement,Net Force at 150ms,Newton,False,True
13107220,282.9999999999999,48.786,Right,0,13107220,NET_FORCE_AT_150MS,Net vertical force w.r.t baseline at 150ms after start of movement,Net Force at 150ms,Newton,False,True
13107220,21.201413427561803,48.786,Asym,0,13107220,NET_FORCE_AT_150MS,Net vertical force w.r.t baseline at 150ms after start of movement,Net Force at 150ms,Newton,False,True
13107221,643.0,48.836,Trial,0,13107221,NET_FORCE_AT_200MS,Net vertical force w.r.t baseline at 200ms after start of movement,Net Force at 200ms,Newton,False,True
13107221,298.0,48.836,Left,0,13107221,NET_FORCE_AT_200MS,Net vertical force w.r.t baseline at 200ms after start of movement,Net Force at 200ms,Newton,False,True
13107221,344.9999999999999,48.836,Right,0,13107221,NET_FORCE_AT_200MS,Net vertical force w.r.t baseline at 200ms after start of movement,Net Force at 200ms,Newton,False,True
13107221,13.623188405797073,48.836,Asym,0,13107221,NET_FORCE_AT_200MS,Net vertical force w.r.t baseline at 200ms after start of movement,Net Force at 200ms,Newton,False,True
13107222,1.0420000000012735,49.678,Trial,0,13107222,START_TO_80PC_PEAK_FORCE,Time from start of movement to 80% of net peak vertical force,Start Time to 80% Net Peak Force,Second,False,True
13107222,1.324000000001618,49.96,Left,0,13107222,START_TO_80PC_PEAK_FORCE,Time from start of movement to 80% of net peak vertical force,Start Time to 80% Net Peak Force,Second,False,True
13107222,1.0560000000012906,49.692,Right,0,13107222,START_TO_80PC_PEAK_FORCE,Time from start of movement to 80% of net peak vertical force,Start Time to 80% Net Peak Force,Second,False,True
13107222,-20.241691842900302,49.678,Asym,0,13107222,START_TO_80PC_PEAK_FORCE,Time from start of movement to 80% of net peak vertical force,Start Time to 80% Net Peak Force,Second,False,True
13107223,39.15595574173316,51.554,Trial,0,13107223,ISO_BM_REL_FORCE_PEAK,Peak vertical force relative to body mass,Peak Vertical Force / BM,Newton Per Kilo,False,False
13107224,17.025525184827725,48.686,Trial,0,13107224,ISO_BM_REL_FORCE_50,Force at 50ms after start of movement relative to body mass,Force at 50ms / BM,Newton Per Kilo,False,False
13107225,18.891595745620805,48.736,Trial,0,13107225,ISO_BM_REL_FORCE_100,Force at 100ms relative to body mass,Force at 100ms / BM,Newton Per Kilo,False,False
13107226,20.747947188909755,48.786,Trial,0,13107226,ISO_BM_REL_FORCE_150,Force at 150ms relative to body mass,Force at 150ms / BM,Newton Per Kilo,False,False
13107227,22.079466286975652,48.836,Trial,0,13107227,ISO_BM_REL_FORCE_200,Force at 200ms relative to body mass,Force at 200ms / BM,Newton Per Kilo,False,False
13107228,84.75481431344983,48.636,Trial,0,13107228,ISO_ABS_IMPULSE_50,Absolute impulse over the first 50ms from start of movement,Absolute Impulse - 50ms,Newton Second,False,True
13107228,37.66988007741548,48.636,Left,0,13107228,ISO_ABS_IMPULSE_50,Absolute impulse over the first 50ms from start of movement,Absolute Impulse - 50ms,Newton Second,False,True
13107228,47.08493423603433,48.636,Right,0,13107228,ISO_ABS_IMPULSE_50,Absolute impulse over the first 50ms from start of movement,Absolute Impulse - 50ms,Newton Second,False,True
13107228,19.995895314245686,48.636,Asym,0,13107228,ISO_ABS_IMPULSE_50,Absolute impulse over the first 50ms from start of movement,Absolute Impulse - 50ms,Newton Second,False,True
13107229,127.85796518390869,48.636,Trial,0,13107229,ISO_ABS_IMPULSE_75,Absolute impulse over the first 75ms from start of movement,Absolute Impulse - 75ms,Newton Second,False,True
13107229,57.104102514576574,48.636,Left,0,13107229,ISO_ABS_IMPULSE_75,Absolute impulse over the first 75ms from start of movement,Absolute Impulse - 75ms,Newton Second,False,True
13107229,70.75386266933212,48.636,Right,0,13107229,ISO_ABS_IMPULSE_75,Absolute impulse over the first 75ms from start of movement,Absolute Impulse - 75ms,Newton Second,False,True
13107229,19.291893954323942,48.636,Asym,0,13107229,ISO_ABS_IMPULSE_75,Absolute impulse over the first 75ms from start of movement,Absolute Impulse - 75ms,Newton Second,False,True
13107230,176.47462862690813,48.636,Trial,0,13107230,ISO_ABS_IMPULSE_100,Absolute impulse over the first 100ms from start of movement,Absolute Impulse - 100ms,Newton Second,False,True
13107230,78.42276015483475,48.636,Left,0,13107230,ISO_ABS_IMPULSE_100,Absolute impulse over the first 100ms from start of movement,Absolute Impulse - 100ms,Newton Second,False,True
13107230,98.0518684720734,48.636,Right,0,13107230,ISO_ABS_IMPULSE_100,Absolute impulse over the first 100ms from start of movement,Absolute Impulse - 100ms,Newton Second,False,True
13107230,20.019106849380748,48.636,Asym,0,13107230,ISO_ABS_IMPULSE_100,Absolute impulse over the first 100ms from start of movement,Absolute Impulse - 100ms,Newton Second,False,True
13107231,278.9594429403797,48.636,Trial,0,13107231,ISO_ABS_IMPULSE_150,Absolute impulse over the first 150ms from start of movement,Absolute Impulse - 150ms,Newton Second,False,True
13107231,122.38664023225793,48.636,Left,0,13107231,ISO_ABS_IMPULSE_150,Absolute impulse over the first 150ms from start of movement,Absolute Impulse - 150ms,Newton Second,False,True
13107231,156.57280270812169,48.636,Right,0,13107231,ISO_ABS_IMPULSE_150,Absolute impulse over the first 150ms from start of movement,Absolute Impulse - 150ms,Newton Second,False,True
13107231,21.834036233989227,48.636,Asym,0,13107231,ISO_ABS_IMPULSE_150,Absolute impulse over the first 150ms from start of movement,Absolute Impulse - 150ms,Newton Second,False,True
13107232,388.2922572538596,48.636,Trial,0,13107232,ISO_ABS_IMPULSE_200,Absolute impulse over the first 200ms from start of movement,Absolute Impulse - 200ms,Newton Second,False,True
13107232,170.63552030968634,48.636,Left,0,13107232,ISO_ABS_IMPULSE_200,Absolute impulse over the first 200ms from start of movement,Absolute Impulse - 200ms,Newton Second,False,True
13107232,217.65673694417313,48.636,Right,0,13107232,ISO_ABS_IMPULSE_200,Absolute impulse over the first 200ms from start of movement,Absolute Impulse - 200ms,Newton Second,False,True
13107232,21.603382139532528,48.636,Asym,0,13107232,ISO_ABS_IMPULSE_200,Absolute impulse over the first 200ms from start of movement,Absolute Impulse - 200ms,Newton Second,False,True
13107233,3.9927962904491503,51.554,Trial,0,13107233,ISO_BW_REL_FORCE_PEAK,Peak vertical force relative to weight of body (in Newtons),Peak Vertical Force / BW,No Unit,False,False
13107234,3251.9999999960255,48.886,Trial,0,13107234,RFD_AT_250MS,Rate of force development over 250ms from start of movement,RFD - 250ms,Newton Per Second,False,True
13107234,1435.9999999982451,48.886,Left,0,13107234,RFD_AT_250MS,Rate of force development over 250ms from start of movement,RFD - 250ms,Newton Per Second,False,True
