,resultId,value,time,limb,repeat,definition_id,result_key,description,name,unit,repeatable,asymmetry
294,6553678,360.6870229003226,35.816,Right,0,6553678,ECCENTRIC_BRAKING_RFD,Eccentric RFD calculated from the initiation of the active (braking) phase to the end of the eccentric phase,Eccentric Braking RFD,Newton Per Second,False,True
295,6553678,42.38425925925927,35.816,Asym,0,6553678,ECCENTRIC_BRAKING_RFD,Eccentric RFD calculated from the initiation of the active (braking) phase to the end of the eccentric phase,Eccentric Braking RFD,Newton Per Second,False,True
296,6553679,5.722529870876846,35.816,Trial,0,6553679,RELATIVE_ECCENTRIC_BRAKING_RFD,Eccentric RFD calculated from the initiation of the active (braking) phase to the end of the eccentric phase realtive to body-weight,Eccentric Braking RFD / BM,Newton Per Second Per Kilo,False,False
297,6553680,349.99999999957225,35.302,Trial,0,6553680,ECCENTRIC_BRAKING_RFD_100MS,Eccentric RFD calculated over first 100ms of the braking phase,Eccentric Braking RFD-100ms,Newton Per Second,False,True
298,6553680,349.99999999957225,35.276,Left,0,6553680,ECCENTRIC_BRAKING_RFD_100MS,Eccentric RFD calculated over first 100ms of the braking phase,Eccentric Braking RFD-100ms,Newton Per Second,False,True
299,6553680,469.9999999994256,35.392,Right,0,6553680,ECCENTRIC_BRAKING_RFD_100MS,Eccentric RFD calculated over first 100ms of the braking phase,Eccentric Braking RFD-100ms,Newton Per Second,False,True
300,6553680,25.53191489361702,35.302,Asym,0,6553680,ECCENTRIC_BRAKING_RFD_100MS,Eccentric RFD calculated over first 100ms of the braking phase,Eccentric Braking RFD-100ms,Newton Per Second,False,True
301,6553681,3.879405896692222,35.302,Trial,0,6553681,RELATIVE_ECCENTRIC_BRAKING_RFD_100MS,Eccentric RFD calculated over first 100ms of the braking phase relative to body mass,Eccentric Braking RFD-100ms / BM,Newton Per Second Per Kilo,False,False
302,6553682,541.6666666660046,35.816,Trial,0,6553682,ECCENTRIC_DECEL_RFD,Rate of force development calculated over the eccentric deceleration phase,Eccentric Deceleration RFD,Newton Per Second,False,True
303,6553682,182.2916666664439,35.816,Left,0,6553682,ECCENTRIC_DECEL_RFD,Rate of force development calculated over the eccentric deceleration phase,Eccentric Deceleration RFD,Newton Per Second,False,True
304,6553682,359.37499999956077,35.816,Right,0,6553682,ECCENTRIC_DECEL_RFD,Rate of force development calculated over the eccentric deceleration phase,Eccentric Deceleration RFD,Newton Per Second,False,True
305,6553682,49.27536231884058,35.816,Asym,0,6553682,ECCENTRIC_DECEL_RFD,Rate of force development calculated over the eccentric deceleration phase,Eccentric Deceleration RFD,Newton Per Second,False,True
306,6553683,6.003842459166533,35.816,Trial,0,6553683,RELATIVE_ECCENTRIC_DECEL_RFD,Rate of force development calculated over the eccentric deceleration phase relative to body mass,Eccentric Deceleration RFD / BM,Newton Per Second Per Kilo,False,False
307,6553684,11.88196371524782,35.966,Trial,0,6553684,RELATIVE_PEAK_TAKEOFF_FORCE,Peak force over the entire takeoff phase relative to body mass,Takeoff Peak Force / BM,Newton Per Kilo,False,False
308,6553685,1071.9907663896583,35.966,Trial,0,6553685,PEAK_CONCENTRIC_FORCE,Peak force over the concentric phase,Concentric Peak Force,Newton,False,True
309,6553685,516.6952908587258,35.95,Left,0,6553685,PEAK_CONCENTRIC_FORCE,Peak force over the concentric phase,Concentric Peak Force,Newton,False,True
310,6553685,558.2954755309325,35.978,Right,0,6553685,PEAK_CONCENTRIC_FORCE,Peak force over the concentric phase,Concentric Peak Force,Newton,False,True
311,6553685,7.451284578769952,35.966,Asym,0,6553685,PEAK_CONCENTRIC_FORCE,Peak force over the concentric phase,Concentric Peak Force,Newton,False,True
312,6553686,11.88196371524782,35.966,Trial,0,6553686,RELATIVE_PEAK_CONCENTRIC_FORCE,Peak force over the concentric phase relative to body mass,Concentric Peak Force / BM,Newton Per Kilo,False,False
313,6553687,829.9907663896583,35.808,Trial,0,6553687,PEAK_ECCENTRIC_FORCE,Peak force over the eccentric phase,Eccentric Peak Force,Newton,False,True
314,6553687,409.69529085872574,35.788,Left,0,6553687,PEAK_ECCENTRIC_FORCE,Peak force over the eccentric phase,Eccentric Peak Force,Newton,False,True
315,6553687,433.2954755309326,35.816,Right,0,6553687,PEAK_ECCENTRIC_FORCE,Peak force over the eccentric phase,Eccentric Peak Force,Newton,False,True
316,6553687,5.446672306764501,35.808,Asym,0,6553687,PEAK_ECCENTRIC_FORCE,Peak force over the eccentric phase,Eccentric Peak Force,Newton,False,True
317,6553688,9.199631638103064,35.808,Trial,0,6553688,RELATIVE_PEAK_ECCENTRIC_FORCE,Peak force over the eccentric phase relative to body mass,Eccentric Peak Force / BM,Newton Per Kilo,False,False
318,6553689,21.80215879394434,36.766,Trial,0,6553689,RELATIVE_PEAK_LANDING_FORCE,Peak force on landing relative to body mass,Peak Landing Force / BM,Newton Per Kilo,False,False
319,6553720,8.50846401609962,36.486,Trial,0,6553720,BODYMASS_RELATIVE_MEAN_TAKEOFF_FORCE,The average force in the concentric phase relative to body mass,Concentric Mean Force / BM,Newton Per Kilo,False,False
320,6553728,14439.999999982352,36.738,Trial,0,6553728,LANDING_RFD_50,Rate of force development over the first 50ms from landing,Landing RFD 50ms,Newton Per Second,False,False
321,7405569,63.11058973271786,34.808,Trial,0,7405569,PUSHUP_UPPER_BODY_MASS,Upper body weight calculated from the steady period at the beginning of each rep,Upper Bodyweight,Kilo,False,True
322,7405569,33.13317489549285,34.808,Left,0,7405569,PUSHUP_UPPER_BODY_MASS,Upper body weight calculated from the steady period at the beginning of each rep,Upper Bodyweight,Kilo,False,True
323,7405569,29.977414837225,34.808,Right,0,7405569,PUSHUP_UPPER_BODY_MASS,Upper body weight calculated from the steady period at the beginning of each rep,Upper Bodyweight,Kilo,False,True
324,7405569,-9.52447227958565,34.808,Asym,0,7405569,PUSHUP_UPPER_BODY_MASS,Upper body weight calculated from the steady period at the beginning of each rep,Upper Bodyweight,Kilo,False,True
325,7405570,34.557999999996575,34.558,Trial,0,7405570,PUSHUP_UPPER_BODY_MASS_START,Start of averaging period to automatically determine upper body weigh,Upper Bodyweight Start,Second,False,False
326,7405571,34.807999999996575,34.808,Trial,0,7405571,PUSHUP_UPPER_BODY_MASS_END,End of averaging period to automatically determine upper body weight,Upper Bodyweight End,Second,False,False
327,7405572,7.784518770019027,36.738,Trial,0,7405572,PUSHUP_HEIGHT,Push up height calculated from flight time,Push Up Height (Flight Time),Centimeter,False,False
328,7405573,3.064772824275261,36.738,Trial,0,7405573,PUSHUP_HEIGHT_INCHES,"Push up height calculated from flight time, in inches",Push Up Height (Flight Time) in Inches,Inch,False,False
329,7405574,23.2165362902545,35.816,Trial,0,7405574,PUSHUP_DEPTH,Absolute value of the maximum negative displacement within a rep,Push Up Depth,Centimeter,False,False
